Anti-Malware Logs,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Summary,807 out of exported 807 entries are found and exported.,,,,,,,,,,,
Filter,,,,,,,,,,,,
Time,"2024-11-01 00:00:00 - 2024-12-01 23:59:59
",,,,,,,,,,,
Sort by time,Descending,,,,,,,,,,,
Endpoint,All,,,,,,,,,,,
IP Address,All,,,,,,,,,,,
Event Type,All,,,,,,,,,,,
Status,All,,,,,,,,,,,
Result,,,,,,,,,,,,
No.,Time Detected,Endpoint,IP Address,Type,Threat,Infected File,Time Created ,File MD5,Status,Time Fixed,Engine,Antivirus database version
76,2024-11-29 12:28:36,2F-PC-040,172.22.57.189,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:36,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Gene Analysis Engine,20241126125034
77,2024-11-29 12:28:29,2F-NB-005,172.22.0.68,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:49:29,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:20,Gene Analysis Engine,20241126125034
78,2024-11-29 12:27:59,2F-PC-172,172.22.56.200,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:11,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:38,Gene Analysis Engine,20241126125034
79,2024-11-29 12:27:58,2F-PC-094,172.22.35.130,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:38,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:41,Gene Analysis Engine,20241126125034
80,2024-11-29 12:27:54,4F-NB-008,172.22.2.197,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:23:18,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Sangfor Cloud-Based Antivirus Engine,20241126125034
81,2024-11-29 12:27:52,2F-PCP-012,172.22.62.127,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 15:06:44,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:11,Sangfor Cloud-Based Antivirus Engine,20241126125034
82,2024-11-29 12:27:36,2F-PC-045,172.22.57.195,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:51,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:14,Sangfor Cloud-Based Antivirus Engine,20241126125034
83,2024-11-29 12:27:35,1F-PC-200,172.22.54.236,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:15,Sangfor Cloud-Based Antivirus Engine,20241126125034
84,2024-11-29 12:27:33,5F-PC-074,172.22.80.135,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:49:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:09,Gene Analysis Engine,20241126125034
85,2024-11-29 12:27:31,GF-PCP-012,172.22.52.94,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 15:06:57,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:13,Sangfor Cloud-Based Antivirus Engine,20241126125034
86,2024-11-29 12:27:29,1F-PC-193,172.22.50.224,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:19,Gene Analysis Engine,20241126125034
87,2024-11-29 12:27:25,1F-PC-221,172.22.0.206,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:47,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:30,Gene Analysis Engine,20241126125034
88,2024-11-29 12:27:19,3F-PC-027,172.22.63.71,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:43,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:23,Gene Analysis Engine,20241126125034
89,2024-11-29 12:27:18,1F-PC-194,172.22.54.227,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:08,Gene Analysis Engine,20241126125034
90,2024-11-29 12:27:05,2F-PC-139,172.22.56.212,Trojan,VB:Trojan.Agent.EBVC,c:\users\tw\appdata\roaming\windows updates files\windows updates service.vbe,2021-08-15 23:44:27,73E3D61DE175DE004D33DFF12B00F9BA,Pending,2024-11-29 12:27:05,Gene Analysis Engine,20241126125034
91,2024-11-29 12:27:00,1F-PC-119,172.22.50.212,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:34:09,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
92,2024-11-29 12:26:56,2F-PC-069,172.22.35.17,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:08,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:23,Sangfor Cloud-Based Antivirus Engine,20241126125034
93,2024-11-29 12:26:48,1F-PC-107,172.22.54.109,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:36,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Gene Analysis Engine,20241126125034
94,2024-11-29 12:26:34,2F-PC-111,172.22.68.121,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:52,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Gene Analysis Engine,20241126125034
95,2024-11-29 12:26:32,RIMAGE,172.22.68.34,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2024-08-16 15:06:56,E943443660965C93A2CA426BF840AE6C,Pending,2024-11-29 12:26:32,Sangfor Engine Zero,20241126125034
96,2024-11-29 12:26:23,2F-PC-101,172.22.62.136,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:37,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Sangfor Cloud-Based Antivirus Engine,20241126125034
97,2024-11-29 12:26:21,ECG-INT1,172.22.25.34,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:12,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Sangfor Cloud-Based Antivirus Engine,20241126125034
98,2024-11-29 12:26:16,2F-PC-052,172.22.35.6,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:33,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Gene Analysis Engine,20241126125034
99,2024-11-29 12:25:59,2F-PC-186,172.22.57.69,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 07:33:46,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:08,Sangfor Cloud-Based Antivirus Engine,20241126125034
100,2024-11-29 12:25:59,1F-PC-211,172.22.54.242,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:59,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
101,2024-11-29 12:25:54,1F-PC-088,172.22.54.89,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:46,Gene Analysis Engine,20241126125034
102,2024-11-29 12:25:46,1F-PC-035,172.22.53.75,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:42,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:06,Gene Analysis Engine,20241126125034
103,2024-11-29 11:42:26,3F-PC-042a,172.22.63.13,Infectious Virus,Virus.Win32.Save.a,g:\users\asus\downloads\ricoh-driver-updater.exe,2018-05-24 10:01:55,299B5E78D5C0A5205ED09825A55C19BD,Isolated successfully.,2024-11-29 11:42:26,Sangfor Engine Zero,20241126125034
104,2024-11-29 11:42:26,3F-PC-042a,172.22.63.13,Others,Malware.Generic-Script.Save.784d712d,g:\programdata\{2c81e9e2-a6c3-6324-2005-fd66ba4776a8}\dafi,2018-06-30 07:09:20,AED7FA935D2652F3A5929154E6A3447C,Isolated successfully.,2024-11-29 11:42:26,Sangfor Engine Zero,20241126125034
105,2024-11-29 11:42:26,3F-PC-042a,172.22.63.13,Others,Suspicious.Win32.Save.a,g:\users\asus\downloads\drivertoolkitinstaller.exe,2018-04-05 18:39:59,ADE449592745B54724FA70EC488B99FD,Isolated successfully.,2024-11-29 11:42:26,Sangfor Engine Zero,20241126125034
106,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,Activator,Application.Hacktool.KMSAuto.AT,g:\windows\system32\sppextcomobjhook.dll,2017-03-23 16:08:02,427DB5DDB8196C2229326050D7D2E983,Pending,2024-11-29 11:42:25,Gene Analysis Engine,20241126125034
107,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,PUP Software,PUA.Win32.Sign.a,g:\users\asus\downloads\microsoft-project_1235692618.exe,2018-04-10 15:12:49,6DEA3133C0F5AF25168D7BDFAB2FF8BF,Pending,2024-11-29 11:42:25,Digital Signature Detection Engine,20241126125034
108,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,PUP Software,PUA.Win32.Sign.a,g:\users\asus\downloads\free_download_nitro_pro_enterprise_11_0_8.exe,2018-05-25 12:43:02,609F498696D302A006940192FC563D46,Pending,2024-11-29 11:42:25,Digital Signature Detection Engine,20241126125034
109,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,Infectious Virus,Virus.Win32.Save.a,g:\program files\common files\microsoft shared\clicktorun\integratedoffice.exe,2020-05-30 00:03:13,F364164E9C58F0076B0E6D902E4F8CBF,Pending,2024-11-29 11:42:25,Sangfor Engine Zero,20241126125034
110,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,Infectious Virus,Virus.Win32.Save.a,g:\program files\microsoft office 15\clientx64\integratedoffice.exe,2017-07-19 21:12:31,F364164E9C58F0076B0E6D902E4F8CBF,Pending,2024-11-29 11:42:25,Sangfor Engine Zero,20241126125034
111,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,Infectious Virus,Virus.Win32.Save.a,g:\program files\microsoft office 15\clientx64\officeclicktorun.exe,2017-07-19 21:12:31,F364164E9C58F0076B0E6D902E4F8CBF,Pending,2024-11-29 11:42:25,Sangfor Engine Zero,20241126125034
112,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,Others,Application.Agent.CZQ,g:\program files (x86)\windows live\photo gallery\winmoviemaker.exe,2017-10-19 15:12:31,11E1A1485EFA62F67EBB7D68191769A2,Pending,2024-11-29 11:42:25,Gene Analysis Engine,20241126125034
113,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,Others,Malware.Generic-VBS.Save.675f82ae,g:\users\asus\appdata\roaming\copicehef,2018-06-04 09:29:23,2706E12C3418B548E85E662D06EF57A5,Pending,2024-11-29 11:42:25,Sangfor Engine Zero,20241126125034
114,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,Others,Application.Agent.CZQ,g:\users\asus\downloads\windows-movie-maker-2016.exe,2017-10-19 15:10:46,794622ED76D4644A5A2823D7C16E50F8,Pending,2024-11-29 11:42:25,Gene Analysis Engine,20241126125034
115,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,Others,Application.Agent.CZQ,g:\users\asus\downloads\windows-movie-maker-2016 (1).exe,2017-10-19 15:33:39,794622ED76D4644A5A2823D7C16E50F8,Pending,2024-11-29 11:42:25,Gene Analysis Engine,20241126125034
116,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,Others,Generic.Akela.722DF960,g:\windows\system32\tasks\yahoo! powered rilal,2019-10-31 19:40:40,5E3F6EB7C892D70222A805FA66FE2F38,Pending,2024-11-29 11:42:25,Gene Analysis Engine,20241126125034
117,2024-11-29 11:42:25,3F-PC-042a,172.22.63.13,Others,Generic.Ekika.A.1.10C09474,g:\windows\tasks\yahoo! powered rilal.job,2018-04-10 15:14:22,936430F7064A9028034E2A35A077BCA8,Pending,2024-11-29 11:42:25,Gene Analysis Engine,20241126125034
118,2024-11-29 07:31:02,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\program files\common files\system\symsrv.dll,2024-11-29 07:03:29,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-29 07:31:02,File Reputation Database,20180825222616
119,2024-11-29 07:31:02,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-29 07:03:29,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-29 07:31:02,File Reputation Database,20180825222616
120,2024-11-29 00:01:40,6F-PC-023,172.22.66.51,Trojan,Trojan.Script.108595,f:\autorun.inf_backup,2020-08-12 20:55:19,2F38F9F8534BA776348702EAD75F5F3E,Pending,2024-11-29 00:01:40,Gene Analysis Engine,20241126125034
121,2024-11-27 22:38:53,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-27 22:29:06,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-27 22:38:53,File Reputation Database,20180825222616
122,2024-11-27 17:00:58,6F-PC-023,172.22.66.51,Trojan,Trojan.Script.108595,f:\autorun.inf_backup,2020-08-12 20:55:19,2F38F9F8534BA776348702EAD75F5F3E,Pending,2024-11-27 17:00:58,Gene Analysis Engine,20241120110503
123,2024-11-27 12:27:56,1F-PC-087,172.22.54.124,Trojan,Trojan.Win32.Save.a,e:\sofware\internet download manager 6.32 build 9\internet download manager 6.32 build 9\patch.exe,2020-01-31 20:10:11,6C52B8C5B79D0441FB39791C2FF596BF,Pending,2024-11-27 12:27:56,Sangfor Engine Zero,20241120110503
124,2024-11-26 15:27:59,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-26 15:02:51,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-26 15:27:59,File Reputation Database,20180825222616
125,2024-11-26 09:57:48,6F-PC-023,172.22.66.51,Trojan,Trojan.Script.108595,f:\autorun.inf_backup,2020-08-12 20:55:19,2F38F9F8534BA776348702EAD75F5F3E,Pending,2024-11-26 09:57:48,Gene Analysis Engine,20241120110503
126,2024-11-25 10:54:23,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-25 10:29:06,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-25 10:54:23,File Reputation Database,20180825222616
127,2024-11-25 08:16:04,6F-PC-023,172.22.66.51,Trojan,Trojan.Script.108595,f:\autorun.inf_backup,2020-08-12 20:55:19,2F38F9F8534BA776348702EAD75F5F3E,Pending,2024-11-25 08:16:04,Gene Analysis Engine,20241120110503
128,2024-11-25 00:35:09,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-25 00:09:51,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-25 00:35:09,File Reputation Database,20180825222616
129,2024-11-24 15:59:15,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-24 15:33:56,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-24 15:59:15,File Reputation Database,20180825222616
130,2024-11-24 06:11:02,LG2-PC-002,172.22.2.123,Others,Suspicious.Win32.Save.a,c:\users\pharmacy\appdata\local\google\chrome\user data\profile 65\preferences,2023-11-17 18:21:29,9B31AC16987401E7D60E52B937058F6E,Pending,2024-11-24 06:11:02,Sangfor Engine Zero,20241120110503
131,2024-11-23 00:31:19,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\program files\common files\system\symsrv.dll,2024-11-23 00:05:53,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-23 00:31:19,File Reputation Database,20180825222616
132,2024-11-23 00:31:19,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-23 00:05:53,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-23 00:31:19,File Reputation Database,20180825222616
133,2024-11-22 16:43:17,6F-PC-034,172.22.66.76,Others,Heur.BZC.YAX.Linx.51.078B4C45,e:\kak zue (8gb).lnk,2019-12-11 17:17:17,670E11B8B83B5A7AAAF1651A09B33870,Pending,2024-11-22 16:43:17,Gene Analysis Engine,20241119141739
134,2024-11-22 15:37:46,GF-PC-080,172.22.59.145,Trojan,Trojan.Win32.Generic.uyng,c:\progra~1\common~1\system\symsrv.dll,2024-11-22 14:11:49,7574CF2C64F35161AB1292E2F532AABF,Isolated successfully.,2024-11-22 15:37:46,File Reputation Database,20180825222616
135,2024-11-22 13:36:35,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\windows\temp\onedrive.exe,2023-09-01 01:31:13,08B5889AF26C2C16AC90F99F5B36481C,Pending,2024-11-22 13:36:35,Sangfor Engine Zero,20241119141739
136,2024-11-22 13:36:35,hpkkplazadb,172.22.36.13,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2023-08-30 03:38:46,65E7F6E26F792FA94E8AF5371FD6331A,Pending,2024-11-22 13:36:35,Sangfor Engine Zero,20241119141739
137,2024-11-22 13:36:35,hpkkplazadb,172.22.36.13,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-14 06:18:22,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Gene Analysis Engine,20241126125034
138,2024-11-22 13:08:17,4F-PC-027,172.22.61.195,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:21,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:29,Gene Analysis Engine,20241126125034
139,2024-11-22 13:06:51,4F-PC-026,172.22.61.140,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:01,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:31,Sangfor Cloud-Based Antivirus Engine,20241126125034
140,2024-11-22 13:05:51,2F-PC-196,172.22.59.12,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:11,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Gene Analysis Engine,20241126125034
141,2024-11-22 12:58:35,hpkkplazaapp,172.22.36.12,Trojan,Trojan.Win32.Save.a,c:\program files\google\chrome\updater.exe,2024-08-16 17:18:26,65E7F6E26F792FA94E8AF5371FD6331A,Pending,2024-11-22 12:58:35,Sangfor Engine Zero,20241119141739
142,2024-11-22 12:56:39,4F-PC-041,172.22.60.4,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:25,C112A7B5E5320C16AC6D5BF2D3B63D53,Failed to isolate.,2024-12-04 16:27:06,Sangfor Cloud-Based Antivirus Engine,20241126125034
143,2024-11-22 12:54:48,4F-PC-021,172.22.61.138,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:23,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:21,Gene Analysis Engine,20241126125034
144,2024-11-22 12:51:20,4F-PC-040,172.22.60.5,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:26,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:18,Gene Analysis Engine,20241126125034
145,2024-11-22 12:50:45,4F-PC-025,172.22.61.150,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:19,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Sangfor Cloud-Based Antivirus Engine,20241126125034
146,2024-11-22 12:50:24,2F-PC-200,172.22.58.201,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:41,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:30,Gene Analysis Engine,20241126125034
147,2024-11-22 12:48:33,2F-PC-226,172.22.58.5,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:33,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:34,Gene Analysis Engine,20241126125034
148,2024-11-22 12:46:30,1F-PC-205,172.22.54.234,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:47,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:51,Gene Analysis Engine,20241126125034
149,2024-11-22 12:44:51,4F-PC-007,172.22.61.144,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-05 10:41:46,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:20,Sangfor Cloud-Based Antivirus Engine,20241126125034
150,2024-11-22 12:44:23,1F-PC-044,172.22.53.24,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:44,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:33,Gene Analysis Engine,20241126125034
151,2024-11-22 12:42:40,2F-PC-049,172.22.57.133,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:53,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:14,Sangfor Cloud-Based Antivirus Engine,20241126125034
152,2024-11-22 12:41:26,1F-PC-120,172.22.53.151,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:40:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:45,Sangfor Cloud-Based Antivirus Engine,20241126125034
153,2024-11-22 12:41:12,4F-PC-008,172.22.61.194,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:08,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
154,2024-11-22 12:41:10,4F-PC-039,172.22.61.196,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:25,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:19,Gene Analysis Engine,20241126125034
155,2024-11-22 12:40:58,4F-PC-005,172.22.61.133,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:21,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:24,Gene Analysis Engine,20241126125034
156,2024-11-22 12:40:11,4F-PC-043,172.22.60.6,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 09:05:47,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:08,Gene Analysis Engine,20241126125034
157,2024-11-22 12:39:43,2F-PC-206,172.22.59.15,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:11,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:34,Gene Analysis Engine,20241126125034
158,2024-11-22 12:39:15,2F-PC-088,172.22.35.18,Trojan,Trojan.Win64.Agent.A7eg,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:39,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:22,Sangfor Cloud-Based Antivirus Engine,20241126125034
159,2024-11-22 12:39:00,2F-PC-205,172.22.58.194,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:12,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-11-29 15:37:58,Gene Analysis Engine,20241126125034
160,2024-11-22 12:38:55,3F-PC-122,172.22.64.20,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-08-16 09:22:43,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:20,Gene Analysis Engine,20241126125034
161,2024-11-22 12:38:41,3F-PC-088,172.22.6.22,Others,Gen:Variant.Barys.320900,c:\programdata\mhnjdtuyeaqo\bkyzejjgqxyc.exe,2024-02-10 08:41:26,C112A7B5E5320C16AC6D5BF2D3B63D53,Isolated successfully.,2024-12-04 16:27:25,Gene Analysis Engine,20241126125034
